Eid|Sid|Course Number|Number In Series|N In Series|Title|Date|Url|Ressources|Description|Video|Corpus
0|0|PLoROMvodv4rPP6braWoRt5UCXYZ71GZIQ|Lecture1|0|Statistical Learning with Python|2022-10-07T16:59:45Z|https://www.youtube.com/playlist?list=PLoROMvodv4rPP6braWoRt5UCXYZ71GZIQ|https://www.youtube.com/playlist?list=PLoROMvodv4rPP6braWoRt5UCXYZ71GZIQ|This is an introductory-level course in supervised learning, with a focus on regression and classification methods. The syllabus includes: linear and polynomial regression, logistic regression and linear discriminant analysis; cross-validation and the bootstrap, model selection and regularization methods (ridge and lasso); nonlinear models, splines and generalized additive models; tree-based methods, random forests and boosting; support-vector machines; neural networks and deep learning; survival models; multiple testing. Some unsupervised learning methods are discussed: principal components and clustering (k-means and hierarchical).  This is not a math-heavy class, so we try and describe the methods without heavy reliance on formulas and complex mathematics. We focus on what we consider to be the important elements of modern data science. Computing is done in Python. There are lectures devoted to Python, giving tutorials from the ground up, and progressing with more detailed sessions that implement the techniques in each chapter.  The lectures cover all the material in An Introduction to Statistical Learning, with Applications in Python by James, Witten, Hastie, Tibshirani and Taylor (Springer, 2023). The pdf for this book is available for free on the book website.  What You'll Learn: Overview of statistical learning Linear regression Classification Resampling methods Linear model selection and regularization Moving beyond linearity Tree-based methods Support vector machines Deep learning Survival modeling Unsupervised learning Multiple testing|LvySJGj-88U|Stanford Online
401|9|PLoROMvodv4rMz-WbFQtNUsUElIh2cPmN9|Lecture29|28|Stanford ENGR108: Introduction to Applied Linear Algebra —Vectors, Matrices, and Least Squares|2021-02-26T23:00:00Z|https://www.youtube.com/playlist?list=PLoROMvodv4rMz-WbFQtNUsUElIh2cPmN9|https://www.youtube.com/playlist?list=PLoROMvodv4rMz-WbFQtNUsUElIh2cPmN9|Lectures by Professor Stephen Boyd, Stanford University.  Introduction to applied linear algebra with emphasis on applications.   Topics include: Vectors, norm, and angle; linear independence and orthonormal sets; applications to document analysis. Clustering and the k-means algorithm. Matrices, left and right inverses, QR factorization. Least-squares and model fitting, regularization and cross-validation. Constrained and nonlinear least-squares.  To follow along with the course schedule and syllabus, visit: https://web.stanford.edu/class/engr108/   To view all online courses and programs offered by Stanford, visit: http://online.stanford.edu​|vDCZpK96k7k|Stanford Online
402|9|PLoROMvodv4rMz-WbFQtNUsUElIh2cPmN9|Lecture30|29|Stanford ENGR108: Introduction to Applied Linear Algebra —Vectors, Matrices, and Least Squares|2021-02-26T21:47:44Z|https://www.youtube.com/playlist?list=PLoROMvodv4rMz-WbFQtNUsUElIh2cPmN9|https://www.youtube.com/playlist?list=PLoROMvodv4rMz-WbFQtNUsUElIh2cPmN9|Lectures by Professor Stephen Boyd, Stanford University.  Introduction to applied linear algebra with emphasis on applications.   Topics include: Vectors, norm, and angle; linear independence and orthonormal sets; applications to document analysis. Clustering and the k-means algorithm. Matrices, left and right inverses, QR factorization. Least-squares and model fitting, regularization and cross-validation. Constrained and nonlinear least-squares.  To follow along with the course schedule and syllabus, visit: https://web.stanford.edu/class/engr108/   To view all online courses and programs offered by Stanford, visit: http://online.stanford.edu​|WFx4oV2JcRM|Stanford Online
403|9|PLoROMvodv4rMz-WbFQtNUsUElIh2cPmN9|Lecture31|30|Stanford ENGR108: Introduction to Applied Linear Algebra —Vectors, Matrices, and Least Squares|2021-02-26T21:43:35Z|https://www.youtube.com/playlist?list=PLoROMvodv4rMz-WbFQtNUsUElIh2cPmN9|https://www.youtube.com/playlist?list=PLoROMvodv4rMz-WbFQtNUsUElIh2cPmN9|Lectures by Professor Stephen Boyd, Stanford University.  Introduction to applied linear algebra with emphasis on applications.   Topics include: Vectors, norm, and angle; linear independence and orthonormal sets; applications to document analysis. Clustering and the k-means algorithm. Matrices, left and right inverses, QR factorization. Least-squares and model fitting, regularization and cross-validation. Constrained and nonlinear least-squares.  To follow along with the course schedule and syllabus, visit: https://web.stanford.edu/class/engr108/   To view all online courses and programs offered by Stanford, visit: http://online.stanford.edu​|lWEJPWFIgtw|Stanford Online
404|9|PLoROMvodv4rMz-WbFQtNUsUElIh2cPmN9|Lecture32|31|Stanford ENGR108: Introduction to Applied Linear Algebra —Vectors, Matrices, and Least Squares|2021-02-26T21:37:51Z|https://www.youtube.com/playlist?list=PLoROMvodv4rMz-WbFQtNUsUElIh2cPmN9|https://www.youtube.com/playlist?list=PLoROMvodv4rMz-WbFQtNUsUElIh2cPmN9|Lectures by Professor Stephen Boyd, Stanford University.  Introduction to applied linear algebra with emphasis on applications.   Topics include: Vectors, norm, and angle; linear independence and orthonormal sets; applications to document analysis. Clustering and the k-means algorithm. Matrices, left and right inverses, QR factorization. Least-squares and model fitting, regularization and cross-validation. Constrained and nonlinear least-squares.  To follow along with the course schedule and syllabus, visit: https://web.stanford.edu/class/engr108/   To view all online courses and programs offered by Stanford, visit: http://online.stanford.edu​|R69sATXr1lM|Stanford Online
405|9|PLoROMvodv4rMz-WbFQtNUsUElIh2cPmN9|Lecture33|32|Stanford ENGR108: Introduction to Applied Linear Algebra —Vectors, Matrices, and Least Squares|2021-02-26T21:34:59Z|https://www.youtube.com/playlist?list=PLoROMvodv4rMz-WbFQtNUsUElIh2cPmN9|https://www.youtube.com/playlist?list=PLoROMvodv4rMz-WbFQtNUsUElIh2cPmN9|Lectures by Professor Stephen Boyd, Stanford University.  Introduction to applied linear algebra with emphasis on applications.   Topics include: Vectors, norm, and angle; linear independence and orthonormal sets; applications to document analysis. Clustering and the k-means algorithm. Matrices, left and right inverses, QR factorization. Least-squares and model fitting, regularization and cross-validation. Constrained and nonlinear least-squares.  To follow along with the course schedule and syllabus, visit: https://web.stanford.edu/class/engr108/   To view all online courses and programs offered by Stanford, visit: http://online.stanford.edu​|q7tuWtK2wWY|Stanford Online
406|9|PLoROMvodv4rMz-WbFQtNUsUElIh2cPmN9|Lecture34|33|Stanford ENGR108: Introduction to Applied Linear Algebra —Vectors, Matrices, and Least Squares|2021-02-26T21:20:14Z|https://www.youtube.com/playlist?list=PLoROMvodv4rMz-WbFQtNUsUElIh2cPmN9|https://www.youtube.com/playlist?list=PLoROMvodv4rMz-WbFQtNUsUElIh2cPmN9|Lectures by Professor Stephen Boyd, Stanford University.  Introduction to applied linear algebra with emphasis on applications.   Topics include: Vectors, norm, and angle; linear independence and orthonormal sets; applications to document analysis. Clustering and the k-means algorithm. Matrices, left and right inverses, QR factorization. Least-squares and model fitting, regularization and cross-validation. Constrained and nonlinear least-squares.  To follow along with the course schedule and syllabus, visit: https://web.stanford.edu/class/engr108/   To view all online courses and programs offered by Stanford, visit: http://online.stanford.edu​|5XhCN-44ua0|Stanford Online
407|9|PLoROMvodv4rMz-WbFQtNUsUElIh2cPmN9|Lecture35|34|Stanford ENGR108: Introduction to Applied Linear Algebra —Vectors, Matrices, and Least Squares|2021-02-26T21:18:10Z|https://www.youtube.com/playlist?list=PLoROMvodv4rMz-WbFQtNUsUElIh2cPmN9|https://www.youtube.com/playlist?list=PLoROMvodv4rMz-WbFQtNUsUElIh2cPmN9|Lectures by Professor Stephen Boyd, Stanford University.  Introduction to applied linear algebra with emphasis on applications.   Topics include: Vectors, norm, and angle; linear independence and orthonormal sets; applications to document analysis. Clustering and the k-means algorithm. Matrices, left and right inverses, QR factorization. Least-squares and model fitting, regularization and cross-validation. Constrained and nonlinear least-squares.  To follow along with the course schedule and syllabus, visit: https://web.stanford.edu/class/engr108/   To view all online courses and programs offered by Stanford, visit: http://online.stanford.edu​|1UssEuFDxd4|Stanford Online
408|9|PLoROMvodv4rMz-WbFQtNUsUElIh2cPmN9|Lecture36|35|Stanford ENGR108: Introduction to Applied Linear Algebra —Vectors, Matrices, and Least Squares|2021-02-26T21:41:17Z|https://www.youtube.com/playlist?list=PLoROMvodv4rMz-WbFQtNUsUElIh2cPmN9|https://www.youtube.com/playlist?list=PLoROMvodv4rMz-WbFQtNUsUElIh2cPmN9|Lectures by Professor Stephen Boyd, Stanford University.  Introduction to applied linear algebra with emphasis on applications.   Topics include: Vectors, norm, and angle; linear independence and orthonormal sets; applications to document analysis. Clustering and the k-means algorithm. Matrices, left and right inverses, QR factorization. Least-squares and model fitting, regularization and cross-validation. Constrained and nonlinear least-squares.  To follow along with the course schedule and syllabus, visit: https://web.stanford.edu/class/engr108/   To view all online courses and programs offered by Stanford, visit: http://online.stanford.edu​|R6sObXmPqXw|Stanford Online
409|9|PLoROMvodv4rMz-WbFQtNUsUElIh2cPmN9|Lecture37|36|Stanford ENGR108: Introduction to Applied Linear Algebra —Vectors, Matrices, and Least Squares|2021-02-26T21:12:42Z|https://www.youtube.com/playlist?list=PLoROMvodv4rMz-WbFQtNUsUElIh2cPmN9|https://www.youtube.com/playlist?list=PLoROMvodv4rMz-WbFQtNUsUElIh2cPmN9|Lectures by Professor Stephen Boyd, Stanford University.  Introduction to applied linear algebra with emphasis on applications.   Topics include: Vectors, norm, and angle; linear independence and orthonormal sets; applications to document analysis. Clustering and the k-means algorithm. Matrices, left and right inverses, QR factorization. Least-squares and model fitting, regularization and cross-validation. Constrained and nonlinear least-squares.  To follow along with the course schedule and syllabus, visit: https://web.stanford.edu/class/engr108/   To view all online courses and programs offered by Stanford, visit: http://online.stanford.edu​|SaERMg6BhWk|Stanford Online
410|9|PLoROMvodv4rMz-WbFQtNUsUElIh2cPmN9|Lecture38|37|Stanford ENGR108: Introduction to Applied Linear Algebra —Vectors, Matrices, and Least Squares|2021-02-26T21:08:41Z|https://www.youtube.com/playlist?list=PLoROMvodv4rMz-WbFQtNUsUElIh2cPmN9|https://www.youtube.com/playlist?list=PLoROMvodv4rMz-WbFQtNUsUElIh2cPmN9|Lectures by Professor Stephen Boyd, Stanford University.  Introduction to applied linear algebra with emphasis on applications.   Topics include: Vectors, norm, and angle; linear independence and orthonormal sets; applications to document analysis. Clustering and the k-means algorithm. Matrices, left and right inverses, QR factorization. Least-squares and model fitting, regularization and cross-validation. Constrained and nonlinear least-squares.  To follow along with the course schedule and syllabus, visit: https://web.stanford.edu/class/engr108/   To view all online courses and programs offered by Stanford, visit: http://online.stanford.edu​|3LGyi_9Yn8s|Stanford Online
411|9|PLoROMvodv4rMz-WbFQtNUsUElIh2cPmN9|Lecture39|38|Stanford ENGR108: Introduction to Applied Linear Algebra —Vectors, Matrices, and Least Squares|2021-02-26T20:06:20Z|https://www.youtube.com/playlist?list=PLoROMvodv4rMz-WbFQtNUsUElIh2cPmN9|https://www.youtube.com/playlist?list=PLoROMvodv4rMz-WbFQtNUsUElIh2cPmN9|Lectures by Professor Stephen Boyd, Stanford University.  Introduction to applied linear algebra with emphasis on applications.   Topics include: Vectors, norm, and angle; linear independence and orthonormal sets; applications to document analysis. Clustering and the k-means algorithm. Matrices, left and right inverses, QR factorization. Least-squares and model fitting, regularization and cross-validation. Constrained and nonlinear least-squares.  To follow along with the course schedule and syllabus, visit: https://web.stanford.edu/class/engr108/   To view all online courses and programs offered by Stanford, visit: http://online.stanford.edu​|J-xhBfJn1mw|Stanford Online
412|9|PLoROMvodv4rMz-WbFQtNUsUElIh2cPmN9|Lecture40|39|Stanford ENGR108: Introduction to Applied Linear Algebra —Vectors, Matrices, and Least Squares|2021-02-26T19:57:59Z|https://www.youtube.com/playlist?list=PLoROMvodv4rMz-WbFQtNUsUElIh2cPmN9|https://www.youtube.com/playlist?list=PLoROMvodv4rMz-WbFQtNUsUElIh2cPmN9|Lectures by Professor Stephen Boyd, Stanford University.  Introduction to applied linear algebra with emphasis on applications.   Topics include: Vectors, norm, and angle; linear independence and orthonormal sets; applications to document analysis. Clustering and the k-means algorithm. Matrices, left and right inverses, QR factorization. Least-squares and model fitting, regularization and cross-validation. Constrained and nonlinear least-squares.  To follow along with the course schedule and syllabus, visit: https://web.stanford.edu/class/engr108/   To view all online courses and programs offered by Stanford, visit: http://online.stanford.edu​|WaOr_4M8yfE|Stanford Online
413|9|PLoROMvodv4rMz-WbFQtNUsUElIh2cPmN9|Lecture41|40|Stanford ENGR108: Introduction to Applied Linear Algebra —Vectors, Matrices, and Least Squares|2021-02-26T21:50:44Z|https://www.youtube.com/playlist?list=PLoROMvodv4rMz-WbFQtNUsUElIh2cPmN9|https://www.youtube.com/playlist?list=PLoROMvodv4rMz-WbFQtNUsUElIh2cPmN9|Lectures by Professor Stephen Boyd, Stanford University.  Introduction to applied linear algebra with emphasis on applications.   Topics include: Vectors, norm, and angle; linear independence and orthonormal sets; applications to document analysis. Clustering and the k-means algorithm. Matrices, left and right inverses, QR factorization. Least-squares and model fitting, regularization and cross-validation. Constrained and nonlinear least-squares.  To follow along with the course schedule and syllabus, visit: https://web.stanford.edu/class/engr108/   To view all online courses and programs offered by Stanford, visit: http://online.stanford.edu​|p18I80UDjNs|Stanford Online
414|9|PLoROMvodv4rMz-WbFQtNUsUElIh2cPmN9|Lecture42|41|Stanford ENGR108: Introduction to Applied Linear Algebra —Vectors, Matrices, and Least Squares|2021-03-02T17:16:29Z|https://www.youtube.com/playlist?list=PLoROMvodv4rMz-WbFQtNUsUElIh2cPmN9|https://www.youtube.com/playlist?list=PLoROMvodv4rMz-WbFQtNUsUElIh2cPmN9|Lectures by Professor Stephen Boyd, Stanford University.  Introduction to applied linear algebra with emphasis on applications.   Topics include: Vectors, norm, and angle; linear independence and orthonormal sets; applications to document analysis. Clustering and the k-means algorithm. Matrices, left and right inverses, QR factorization. Least-squares and model fitting, regularization and cross-validation. Constrained and nonlinear least-squares.  To follow along with the course schedule and syllabus, visit: https://web.stanford.edu/class/engr108/   To view all online courses and programs offered by Stanford, visit: http://online.stanford.edu​|qr9uzoRkYK0|Stanford Online
415|9|PLoROMvodv4rMz-WbFQtNUsUElIh2cPmN9|Lecture43|42|Stanford ENGR108: Introduction to Applied Linear Algebra —Vectors, Matrices, and Least Squares|2021-02-26T21:54:10Z|https://www.youtube.com/playlist?list=PLoROMvodv4rMz-WbFQtNUsUElIh2cPmN9|https://www.youtube.com/playlist?list=PLoROMvodv4rMz-WbFQtNUsUElIh2cPmN9|Lectures by Professor Stephen Boyd, Stanford University.  Introduction to applied linear algebra with emphasis on applications.   Topics include: Vectors, norm, and angle; linear independence and orthonormal sets; applications to document analysis. Clustering and the k-means algorithm. Matrices, left and right inverses, QR factorization. Least-squares and model fitting, regularization and cross-validation. Constrained and nonlinear least-squares.  To follow along with the course schedule and syllabus, visit: https://web.stanford.edu/class/engr108/   To view all online courses and programs offered by Stanford, visit: http://online.stanford.edu​|y44HXBjCZ0Q|Stanford Online
416|9|PLoROMvodv4rMz-WbFQtNUsUElIh2cPmN9|Lecture44|43|Stanford ENGR108: Introduction to Applied Linear Algebra —Vectors, Matrices, and Least Squares|2021-02-26T22:00:19Z|https://www.youtube.com/playlist?list=PLoROMvodv4rMz-WbFQtNUsUElIh2cPmN9|https://www.youtube.com/playlist?list=PLoROMvodv4rMz-WbFQtNUsUElIh2cPmN9|Lectures by Professor Stephen Boyd, Stanford University.  Introduction to applied linear algebra with emphasis on applications.   Topics include: Vectors, norm, and angle; linear independence and orthonormal sets; applications to document analysis. Clustering and the k-means algorithm. Matrices, left and right inverses, QR factorization. Least-squares and model fitting, regularization and cross-validation. Constrained and nonlinear least-squares.  To follow along with the course schedule and syllabus, visit: https://web.stanford.edu/class/engr108/   To view all online courses and programs offered by Stanford, visit: http://online.stanford.edu​|XTdzAMf0gG0|Stanford Online
